AN,TAB,one,two,Cluster,Cluster Number,Number of Items,Top Cluster Terms
1808,"Exclusive Breastfeeding and Clinical Malaria Risk in 6-Month-Old Infants: A Cross-Sectional Study from Kinshasa, Democratic Republic of the Congo The World Health Organization recommends exclusive breastfeeding (EBF) for the first 6 months of life. However, the effect of EBF on malaria risk remains unclear. In the present study, 137 EBF infants and 358 non-EBF infants from the Democratic Republic of the Congo were assessed for fever and malaria infections by polymerase chain reaction, at 6 months of age. EBF was associated with a reduced risk of clinical malaria (odds ratio = 0.13; 95% confidence interval = 0.00-0.80), suggesting a protective effect of EBF against malaria. _ The American Society of Tropical Medicine and Hygiene.",,,1,,,
1809,"Plasmodium vivax Infections in Duffy-Negative Individuals in the Democratic Republic of the Congo Although Plasmodium vivax has been assumed to be absent from sub-Saharan Africa because of the protective mutation conferring the Duffy-negative phenotype, recent evidence has suggested that P. vivax cases are prevalent in these regions. We selected 292 dried blood spots from children who participated in the 2013-2014 Demographic and Health Survey of the Democratic Republic of the Congo (DRC), to assess for P. vivax infection. Four P. vivax infections were identified by polymerase chain reaction, each in a geographically different survey cluster. Using these as index cases, we tested the remaining 73 samples from the four clusters. With this approach, 10 confirmed cases, three probable cases, and one possible case of P. vivax were identified. Among the 14 P. vivax cases, nine were coinfected with Plasmodium falciparum. All 14 individuals were confirmed to be Duffy-negative by sequencing for the single point mutation in the GATA motif that represses the expression of the Duffy antigen. This finding is consistent with a growing body of literature that suggests that P. vivax can infect Duffy-negative individuals in Africa. Future molecular and sequencing work is needed to understand the relationship of these isolates with other P. vivax samples from Asia and South America and discover variants linked to P. vivax virulence and erythrocyte invasion.",,,1,,,
1810,"Exome Chip Meta-analysis Fine Maps Causal Variants and Elucidates the Genetic Architecture of Rare Coding Variants in Smoking and Alcohol_Use BACKGROUND: Smoking and alcohol use have been associated with common genetic variants in multiple loci. Rare variants within these loci hold promise in the identification of biological mechanisms in substance use. Exome arrays and genotype imputation can now efficiently genotype rare nonsynonymous and loss of function variants. Such variants are expected to have deleterious functional consequences and to contribute to disease risk. METHODS: We analyzed _250,000 rare variants from 16 independent studies genotyped with exome arrays and augmented this dataset with imputed data from the UK Biobank. Associations were tested for five phenotypes: cigarettes per day, pack-years, smoking initiation, age of smoking initiation, and alcoholic drinks per week. We conducted stratified heritability analyses, single-variant tests, and gene-based burden tests of nonsynonymous/loss-of-function coding variants. We performed a novel fine-mapping analysis to winnow the number of putative causal variants within associated loci. RESULTS: Meta-analytic sample sizes ranged from 152,348 to 433,216, depending on the phenotype. Rare coding variation explained 1.1% to 2.2% of phenotypic variance, reflecting 11% to 18% of the total single nucleotide polymorphism heritability of these phenotypes. We identified 171 genome-wide associated loci across all phenotypes. Fine mapping identified putative causal variants with double base-pair resolution at 24 of these loci, and between three and 10 variants for 65 loci. Twenty loci contained rare coding variants in the 95% credible intervals. CONCLUSIONS: Rare coding variation significantly contributes to the heritability of smoking and alcohol use. Fine-mapping genome-wide association study loci identifies specific variants contributing to the biological etiology of substance use behavior. Copyright _ 2018 Society of Biological Psychiatry. Published by Elsevier Inc. All rights reserved.",,,8,,,
1811,"Children's moderate to vigorous physical activity attending summer day camps INTRODUCTION: National physical activity standards call for all children to accumulate 60 minutes/day of moderate to vigorous physical activity (MVPA). The contribution of summer day camps toward meeting this benchmark is largely unknown. The purpose of this study was to provide estimates of children's MVPA during summer day camps. METHODS: Children (n=1,061, 78% enrollment; mean age, 7.8 years; 46% female; 65% African American; 48% normal weight) from 20 summer day camps wore ActiGraph GT3x+ accelerometers on the wrist during camp hours for up to 4 non-consecutive days over the summer of 2015 (July). Accumulated MVPA at the 25th, 50th, and 75th percentile of the distribution was estimated using random-effects quantile regression. All models were estimated separately for boys and girls and controlled for wear time. Minutes of MVPA were dichotomized to _60 minutes/day of MVPA or < 60 minutes/day to estimate percentage of boys and girls meeting the 60 minutes/day guideline. All data were analyzed in spring 2016. RESULTS: Across the 20 summer day camps, boys (n=569) and girls (n=492) accumulated a median of 96 and 82 minutes/day of MVPA, respectively. The percentage of children meeting 60 minutes/day of MVPA was 80% (range, 41%-94%) for boys and 73% (range, 30%-97%) for girls. CONCLUSIONS: Summer day camps are a setting where a large portion of boys and girls meet daily physical activity guidelines. Public health practitioners should focus efforts on making summer day camps accessible for children in the U.S. Copyright _ 2017 American Journal of Preventive Medicine. Published by Elsevier Inc. All rights reserved.",,,9,,,
1812,"Turn up the healthy eating and activity time (HEAT): Physical activity outcomes from a 4-year non-randomized controlled trial in summer day camps Summer day camps (SDCs) serve over 14 million children in the U.S. and are well-positioned to help children accumulate the guideline of 60_min per day (60_min/d) of moderate-to-vigorous physical activity (MVPA). The purpose of this study was to evaluate a multi-component intervention to increase the percentage of children meeting 60_min/d of MVPA. Twenty SDCs serving 3524 children (7.9_yrs., 46.2% girls, 66.1% non-Hispanic Black) participated in a 4-summer non-randomized two-group intervention. Children's accelerometer-derived MVPA was collected using accelerometers worn on the non-dominant wrist. SDCs were assigned to either 2 summers of intervention (n_=_10, no intervention summer 2015, intervention summer 2016 and 2017) or 1 summer of intervention (n_=_10, no intervention summer 2015 and 2016, intervention summer 2017). The final summer (July 2018) was a no intervention follow-up. Multilevel mixed effects regression models estimated changes in percent of children meeting 60_min/d of MVPA. Across all summers and SDCs, children accumulated an average of 89.2_min/day (_22.5) of MVPA. The likelihood of meeting the 60_min/d MVPA guideline was not different during intervention versus baseline summers for boys or girls (p_>_0.05). Girls and boys were 3.5 (95CI_=_1.5, 8.1) and 3.7 (95CI_=_1.6, 8.4) times more likely to meet the 60_min/d guideline during intervention summers versus follow-up, respectively. The intervention was not successful at increasing the percentage of children meeting the 60_min/d MVPA guideline. However, children attending SDCs accumulated substantial amounts of MVPA thus efforts should focus on making SDCs an accessible setting for all children. _ 2020 The Authors.",,,9,,,
1813,"Implementation of ""Treat-all"" at adult HIV care and treatment sites in the Global IeDEA Consortium: results from the Site Assessment Survey INTRODUCTION: Since 2015, the World Health Organization (WHO) has recommended that all people living with HIV (PLHIV) initiate antiretroviral treatment (ART), irrespective of CD4+ count or clinical stage. National adoption of universal treatment has accelerated since WHO's 2015 ""Treat All"" recommendation; however, little is known about the translation of this guidance into practice. This study aimed to assess the status of Treat All implementation across regions, countries, and levels of the health care delivery system. METHODS: Between June and December 2017, 201/221 (91%) adult HIV treatment sites that participate in the global IeDEA research consortium completed a survey on capacity and practices related to HIV care. Located in 41 countries across seven geographic regions, sites provided information on the status and timing of site-level introduction of Treat All, as well as site-level practices related to ART initiation. RESULTS: Almost all sites (93%) reported that they had begun implementing Treat All, and there were no statistically significant differences in site-level Treat All introduction by health facility type, urban/rural location, sector (public/private) or country income level. The median time between national policy adoption and site-level introduction was one month. In countries where Treat All was not yet adopted in national guidelines, 69% of sites reported initiating all patients on ART, regardless of clinical criteria, and these sites had been implementing Treat All for a median period of seven months at the time of the survey. The majority of sites (77%) reported typically initiating patients on ART within 14_days of confirming diagnosis, with 60% to 62% of sites implementing Treat All in East, Southern and West Africa reporting same-day ART initiation for most patients. CONCLUSIONS: By mid- to late-2017, the Treat All strategy was the standard of care at almost all IeDEA sites, including rural, primary-level health facilities in low-resource settings. While further assessments of site-level capacity to provide high-quality HIV care under Treat All and to support sustained viral suppression after ART initiation are needed, the widespread introduction of Treat All at the service delivery level is a critical step towards global targets for ending the HIV epidemic as a public health threat. _ 2019 The Authors. Journal of the International AIDS Society published by John Wiley & Sons Ltd on behalf of the International AIDS Society.",,,5,,,
1814,"Self-disclosure of HIV status, disclosure counseling, and retention in HIV care in Cameroon Poor retention in care is common among HIV-positive adults in sub-Saharan Africa settings and remains a key barrier to HIV management. We quantify the associations of disclosure of HIV status and referral to disclosure counseling with successful retention in care using data from three Cameroon clinics participating in the Phase 1 International epidemiologic Databases to Evaluate AIDS Central Africa cohort. Of 1646 patients newly initiating antiretroviral therapy between January 2008 and January 2011, 43% were retained in care following treatment initiation. Self-disclosure of HIV status to at least one person prior to treatment initiation was associated with a minimal increase in the likelihood of being retained in care (risk ratio [RR]_=_1.14; 95% confidence interval (CI): 0.94, 1.38). However, referral to disclosure counseling was associated with a moderate increase in retention (RR_=_1.37; 95% CI: 1.21, 1.55) and was not significantly modified by prior disclosure status (p_=_.3). Our results suggest that while self-disclosure may not significantly improve retention among patients receiving care at these Cameroon sites, counseling services may play an important role regardless of prior disclosure status.",,,6,,,
1815,"Updates on Genome-Wide Association Findings in Eating Disorders and Future Application to Precision Medicine Heterogeneity, frequent diagnostic fluctuation across presentations, and global concerns with the absence of effective treatments all encourage science that moves the field toward individualized or precision medicine in eating disorders. We review recent advances in psychiatric genetics focusing on genome-wide association studies (GWAS) in eating disorders. Given that the only eating disorder to be the subject of GWAS to date is anorexia nervosa, we review anorexia GWAS and enumerate the prospects and challenges of a genomics-driven approach towards personalized intervention in eating disorders. Copyright_ Bentham Science Publishers; For any queries, please email at epub@benthamscience.org.",,,8,,,
1816,"Association of exposure to infections in childhood with risk of eating disorders in adolescent girls Importance: Infections are recognized as playing a critical role in the risk of psychiatric disorders and suicidal behavior; however, few studies have evaluated the risk of eating disorders. Objective: To evaluate the association of hospitalization for infections and treatment with anti-infective agents with the risk of an eating disorder diagnosis. Design, Setting, and Participants: A nationwide, population-based, prospective cohort study of 525_643 girls born from January 1, 1989, to December 31, 2006, and followed up until December 31, 2012, was conducted using individual-level data drawn from Danish longitudinal registers. Data were analyzed from January 15 to June 15, 2018, using survival analysis models and adjusted for age, calendar period, parental educational level, and parental history of psychiatric illness. Exposures: Hospital admission for infections and prescribed anti-infective agents for infections. Main Outcomes and Measures: The main outcome of interest was diagnosis of an eating disorder (anorexia nervosa, bulimia nervosa, or eating disorder not otherwise specified) in a hospital, outpatient clinic, or emergency department setting. Cox proportional hazards regression models were used to estimate hazard ratios (HRs) and accompanying 95% CIs. Results: The study population consisted of 525_643 adolescent girls: 2131 received a diagnosis of anorexia nervosa (median [range] age, 15.2 [8.6-21.3] years), 711 received a diagnosis of bulimia nervosa (median [range] age, 17.9 [13.4-22.7] years), and 1398 received a diagnosis of an eating disorder not otherwise specified (median [range] age, 15.6 [8.6-21.6] years). A total of 525_643 adolescent girls were followed up for 4_601_720.4 person-years until a mean age of 16.2 years (range, 10.5-22.7 years). Severe infections that required hospitalization were associated with an increased risk of a subsequent diagnosis of anorexia nervosa by 22% (HR, 1.22; 95% CI, 1.10-1.35), bulimia nervosa by 35% (HR, 1.35; 95% CI, 1.13-1.60), and eating disorder not otherwise specified by 39% (HR, 1.39; 95% CI, 1.23-1.57) compared with adolescent girls without hospitalizations for infections. Infections treated with anti-infective agents were associated with an increased risk of a subsequent diagnosis of anorexia nervosa by 23% (HR, 1.23; 95% CI, 1.10-1.37), bulimia nervosa by 63% (HR, 1.63; 95% CI, 1.32-2.02), and eating disorder not otherwise specified by 45% (HR, 1.45; 95% CI, 1.25-1.67) compared with adolescent girls without infections treated with anti-infective agents. Conclusions and Relevance: The findings suggest that hospital-treated infections and less severe infections treated with anti-infective agents are associated with increased risk of subsequent anorexia nervosa, bulimia nervosa, and eating disorders not otherwise specified and that future studies should investigate whether these associations are causal and identify the exact mechanisms between infections and subsequent inflammatory processes with eating disorders.",,,9,,,
1817,"Comparative effectiveness of mailed reminders with and without fecal immunochemical tests for Medicaid beneficiaries at a large county health department: A randomized controlled trial BACKGROUND: Colorectal cancer (CRC) screening is effective but underused. Screening rates are lower among Medicaid beneficiaries versus other insured populations. No studies have examined mailed fecal immunochemical testing (FIT)-based outreach programs for Medicaid beneficiaries. METHODS: In a patient-level randomized controlled trial, a mailed CRC screening reminder plus FIT, sent from an urban health department to Medicaid beneficiaries, was compared with the same reminder without FIT. The reminder group could request FIT. Completed FIT kits were processed by the health department laboratory. Respondents were notified of normal results by mail. Abnormal results were given via phone by a patient navigator who provided counselling and assistance with follow-up care. The primary outcome was FIT return. RESULTS: In all, 2144 beneficiaries at average CRC risk were identified, and there was no evidence of screening with Medicaid claims data. To the reminder+FIT group, 1071 were randomized, and 1073 were randomized to the reminder group; 307 (28.7%) in the reminder+FIT group and 347 (32.3%) in the reminder group were unreachable or ineligible (previous screening). The FIT return rate was significantly higher in the reminder+FIT group than the reminder group (21.1% vs 12.3%; difference, 8.8%; 95% confidence interval, 3.7%-13.9%; P_< _.01). Eighteen individuals (7.2%) who completed FIT tests had abnormal results, and 15 were eligible for follow-up colonoscopy; 66.7% (n_=_10) completed follow-up colonoscopy. CONCLUSIONS: A health department-based, mailed FIT program targeting Medicaid beneficiaries was feasible. Including a FIT kit resulted in greater screening completion than a reminder letter alone. Further research is needed to understand the comparative cost-effectiveness of these interventions. _ 2018 American Cancer Society.",,,5,,,
1818,"Validation of Multiplex Serology detecting human herpesviruses 1-5 Human herpesviruses (HHV) cause a variety of clinically relevant conditions upon primary infection of typically young and immunocompetent hosts. Both primary infection and reactivation after latency can lead to more severe disease, such as encephalitis, congenital defects and cancer. Infections with HHV are also associated with cardiovascular and neurodegenerative disease. However, most of the associations are based on retrospective case-control analyses and well-powered prospective cohort studies are needed for assessing temporality and causality. To enable comprehensive investigations of HHV-related disease etiology in large prospective population-based cohort studies, we developed HHV Multiplex Serology. This methodology represents a low-cost, high-throughput technology that allows simultaneous measurement of specific antibodies against five HHV species: Herpes simplex viruses 1 and 2, Varicella zoster virus, Epstein-Barr virus, and Cytomegalovirus. The newly developed HHV species-specific ('Monoplex') assays were validated against established gold-standard reference assays. The specificity and sensitivity of the HHV species-specific Monoplex Serology assays ranged from 92.3% to 100.0% (median 97.4%) and 91.8% to 98.7% (median 96.6%), respectively. Concordance with reference assays was very high with kappa values ranging from 0.86 to 0.96 (median kappa 0.93). Multiplexing the Monoplex Serology assays resulted in no loss of performance and allows simultaneous detection of antibodies against the 5 HHV species in a high-throughput manner.",,,8,,,
1819,"Mental health service use among adolescents following participation in a randomized clinical trial for depression Major depressive disorder (MDD) is a common disorder among adolescents. The Treatment for Adolescents with Depression Study (TADS) was a randomized controlled trial to examine the efficacy of fluoxetine and cognitive-behavioral therapy (CBT), separately and together, compared with placebo, in adolescents 12 to 17 years of age. The Survey of Outcomes Following Treatment for Adolescent Depression (SOFTAD) was designed as a naturalistic follow-up of participants in TADS. The aims of the current analyses are to describe mental health service use during the SOFTAD period. There were 196 adolescents recruited from 12 TADS sites. The Schedule for Affective Disorders and Schizophrenia for School-Age-Children-Present and Lifetime Version was used for clinical diagnoses. Participants completed a psychiatric treatment log and the Child and Adolescent Services Assessment to assess service use. 58% received psychotherapy or nonstimulant psychotropic medication during SOFTAD. Youth with recurrent MDD had higher rates of treatment compared to youth without recurrent MDD (71% vs. 45%). However, nearly one third of the adolescents in the study did not receive treatment for a recurrent episode of depression. Service use differed by gender for those with recurrent MDD, with female participants (79%) receiving treatment at higher rates than male participants (55%), although there was no significant difference in depression severity between genders. Younger participants with recurrent MDD had higher odds of receiving psychotherapy. Use of psychotherapy and psychotropics following recurrence of depression appears to be influenced by age and gender. Even when youth respond well to treatment, a sizeable percentage are likely to experience a subsequent episode that may go untreated.",,,1,,,
1820,"Women and HIV in the united states BACKGROUND: The demographic and geographic characteristics of the HIV epidemic in the US has changed substantially since the disease emerged, with women in the South experiencing a particularly high HIV incidence. In this study, we identified and described counties in the US in which the prevalence of HIV is particularly high in women compared to men. METHODS: Using data from AIDSVu, a public dataset of HIV cases in the US in 2012, we categorized counties by their decile of the ratio of female to male HIV prevalence. The demographic and socioeconomic characteristics of counties in the highest decile were compared to those of counties in the lower deciles. RESULTS: Most of the counties in the highest decile were located in the Deep South. These counties had a lower median income, higher percentage of people in poverty, and lower percentage of people with a high school education. Additionally, people with HIV in these counties were more likely to be non-Hispanic black. CONCLUSIONS: Counties with the highest ratios of female-to-male HIV prevalence are concentrated in the Southern US, and residents of these counties tend to be of lower socioeconomic status. Identifying and describing these counties is important for developing public health interventions.",,,6,,,
1821,"S100 proteins in cancer In humans, the S100 protein family is composed of 21 members that exhibit a high degree of structural similarity, but are not functionally interchangeable. This family of proteins modulates cellular responses by functioning both as intracellular Ca(2+) sensors and as extracellular factors. Dysregulated expression of multiple members of the S100 family is a common feature of human cancers, with each type of cancer showing a unique S100 protein profile or signature. Emerging in vivo evidence indicates that the biology of most S100 proteins is complex and multifactorial, and that these proteins actively contribute to tumorigenic processes such as cell proliferation, metastasis, angiogenesis and immune evasion. Drug discovery efforts have identified leads for inhibiting several S100 family members, and two of the identified inhibitors have progressed to clinical trials in patients with cancer. This Review highlights new findings regarding the role of S100 family members in cancer diagnosis and treatment, the contribution of S100 signalling to tumour biology, and the discovery and development of S100 inhibitors for treating cancer.",,,3,,,
1822,"Genetic variants identified in a European genome-wide association study that were found to predict incident coronary heart disease in the atherosclerosis risk in communities study In 2007, the Wellcome Trust Case Control Consortium (WTCCC) performed a genome-wide association study in 2,000 British coronary heart disease (CHD) cases and 3,000 controls after genotyping 469,557 single nucleotide polymorphisms (SNPs). Seven variants associated with CHD were initially identified, and 5 SNPs were later found in replication studies. In the current study, the authors aimed to determine whether the 12 SNPs reported by the WTCCC predicted incident CHD through 2004 in a biracial, prospective cohort study (Atherosclerosis Risk in Communities) comprising 15,792 persons aged 45-64 years who had been selected by probability sampling from 4 different US communities in 1987-1989. Cox proportional hazards models with adjustment for age and gender were used to estimate CHD hazard rate ratios (HRRs) over a 17-year period (1,362 cases in whites and 397 cases in African Americans) under an additive genetic model. The results showed that 3 SNPs in whites (rs599839, rs1333049, and rs501120; HRRs were 1.10 (P = 0.044), 1.14 (P < 0.001), and 1.14 (P = 0.030), respectively) and 1 SNP in African Americans (rs7250581; HRR = 1.60, P = 0.05) were significantly associated with incident CHD. This study demonstrates that genetic variants revealed in a case-control genome-wide association study enriched for early disease onset may play a role in the genetic etiology of CHD in the general population.",,,8,,,
1823,"Fat mass and obesity gene and cognitive decline: the Atherosclerosis Risk in Communities Study OBJECTIVE: To determine whether 4 genetic variants in the fat mass and obesity associated gene (FTO) identified in genome-wide association studies of diabetes and obesity are associated with cognitive change in midlife in the Atherosclerosis Risk in Communities (ARIC) Study. METHODS: ARIC is a prospective cohort study of the development of atherosclerosis in 15,792 individuals aged 45 to 64 years at baseline from 1986 to 1989. FTO is highly expressed in human fetal and adult brain, and a single nucleotide polymorphism in FTO has previously been associated with reduced brain volume in cognitively normal subjects. Since a relationship between brain atrophy and diminished cognitive function has been demonstrated in ARIC participants, general linear models were used to evaluate the association between 6-year change in scores on 3 neuropsychological tests and FTO genotype. RESULTS: In a sample of 8,364 white and 2,083 African American men and women with no clinical history of stroke, significantly greater mean change in performance on the Delayed Word Recall Test was associated with 2 of 4 FTO single nucleotide polymorphisms examined (rs9939609, rs805136, rs17817449, and rs1421085) in whites but not in African Americans (p _ 0.002). The association of the FTO polymorphisms with cognitive change was independent of potential confounding clinical and demographic variables including age, gender, education, diabetes, hypertension, and body mass index. CONCLUSIONS: Further studies will be needed to clarify the biological mechanisms and genetic pathways through which variants in FTO can increase susceptibility to decline in verbal memory detectable in middle-aged, community-dwelling adults.",,,8,,,
1824,"Sequence variation in telomerase reverse transcriptase (TERT) as a determinant of risk of cardiovascular disease: the Atherosclerosis Risk in Communities (ARIC) study BACKGROUND: Telomerase reverse transcriptase (TERT) maintains telomere ends during DNA replication by catalyzing the addition of short telomere repeats. The expression of telomerase is normally repressed in somatic cells leading to a gradual shortening of telomeres and cellular senescence with aging. Interindividual variation in leukocyte telomere length has been previously associated with susceptibility to cardiovascular disease. The aim of the present study was to determine whether six variants in the TERT gene are associated with risk of incident coronary heart disease, incident ischemic stroke, and mortality in participants in the biracial population-based Atherosclerosis Risk in Communities (ARIC) study, including rs2736100 that was found to influence mean telomere length in a genome-wide analysis. METHODS: ARIC is a prospective study of the etiology and natural history of atherosclerosis in 15,792 individuals aged 45 to 64 years at baseline in 1987-1989. Haplotype tagging SNPs in TERT were genotyped using a custom array containing nearly 49,000 SNPs in 2,100 genes associated with cardiovascular and metabolic phenotypes. Cox proportional hazards models were used to assess the association between the TERT polymorphisms and incident cardiovascular disease and mortality over a 20-year follow-up period in 8,907 whites and 3,022 African-Americans with no history of disease at the baseline examination, while individuals with prevalent cardiovascular disease were not excluded from the analyses of mortality. RESULTS: After adjustment for age and gender, and assuming an additive genetic model, rs2736122 and rs2853668 were nominally associated with incident coronary heart disease (hazards rate ratio_=_1.20, p_=_0.02, 95 % confidence interval_=_1.03- 1.40) and stroke (hazards rate ratio_=_1.17, p_=_0.05, 95 % confidence interval_=_1.00 - 1.38), respectively, in African-Americans. None of the variants was significantly associated with cardiovascular disease in white study participants or with mortality in either racial group. CONCLUSIONS: Replication in additional population-based samples combined with genotyping of polymorphisms in other genes involved in maintenance of telomere length may help to determine whether genetic variants associated with telomere homeostasis influence the risk of cardiovascular disease in middle-aged adults.",,,8,,,
1825,"Incident heart failure and cognitive decline: the atherosclerosis risk in communities study BACKGROUND: Cognitive impairment is found in a significant proportion of patients with heart failure (HF). Although cognitive impairment may be a consequence of HF, early signs of cognitive impairment may also indicate subclinical vascular disease, and thus a risk factor for future cardiovascular events. METHODS AND RESULTS: The Atherosclerosis Risk in Communities Study is a prospective cohort study of the development of atherosclerosis. Cox proportional hazards regression was used to examine the association between mean 6-year change in cognitive function and incident HF in 7962 white and 1933 African-American men and women aged 46 to 70 years and free of clinical stroke. Scores were obtained for the Delayed Word Recall Test, the Digit Symbol Substitution Test (DSST), and the Word Fluency Test. There was a significantly increased risk of developing HF during the mean 12.6-year follow-up period after adjustment for age, gender, race, and education for those in the quartile with the greatest decline in DSST scores (hazard ratio [HR]_=_1.17, P_=_.009), and in the quartile with the lowest baseline DSST scores (HR_=_1.43, P_< _.001). CONCLUSIONS: The results suggest that relatively low performance on a test of information processing speed may serve as an indicator of HF risk in middle age. Copyright _ 2016 Elsevier Inc. All rights reserved.",,,1,,,
1826,"Polymorphisms in base excision repair genes as colorectal cancer risk factors and modifiers of the effect of diets high in red meat BACKGROUND: A diet high in red meat is an established colorectal cancer (CRC) risk factor. Carcinogens generated during meat cooking have been implicated as causal agents and can induce oxidative DNA damage, which elicits repair by the base excision repair (BER) pathway. METHODS: Using a family-based study, we investigated the role of polymorphisms in 4 BER genes (APEX1 Gln51His, Asp148Glu; OGG1 Ser236Cys; PARP Val742Ala; and XRCC1 Arg194Trp, Arg280His, Arg399Gln) as potential CRC risk factors and modifiers of the association between diets high in red meat or poultry and CRC risk. We tested for gene-environment interactions using case-only analyses (n = 577) and compared statistically significant results with those obtained using case-unaffected sibling comparisons (n = 307 sibships). RESULTS: Carriers of the APEX1 codon 51 Gln/His genotype had a reduced CRC risk compared with carriers of the Gln/Gln genotype (odds ratio (OR) = 0.15, 95% CI = 0.03-0.69, P = 0.015). The association between higher red meat intake (>3 servings per week) and CRC was modified by the PARP Val762Ala single-nucleotide polymorphisms (SNP; case-only interaction P = 0.026). This SNP also modified the association between higher intake of high-temperature cooked red meat (case-only interaction P = 0.0009). CONCLUSIONS: We report evidence that the BER pathway PARP gene modifies the association of diets high in red meat cooked at high temperatures with risk of CRC. IMPACT: Our findings suggest a contribution to colorectal carcinogenesis of free radical damage as one of the possible harmful effects of a diet high in red meat. _2010 AACR.",,,3,,,
1827,Building better boxes for theories of health behavior: a comment on Williams and Rhodes (2016) ,,,2,,,
1828,HPV transmission in adolescent men who have sex with men ,,,0,,,
1829,"Increasing vaccination: putting psychological science into action Vaccination is one of the great achievements of the 20th century, yet persistent public-health problems include inadequate, delayed, and unstable vaccination uptake. Psychology offers three general propositions for understanding and intervening to increase uptake where vaccines are available and affordable. The first proposition is that thoughts and feelings can motivate getting vaccinated. Hundreds of studies have shown that risk beliefs and anticipated regret about infectious disease correlate reliably with getting vaccinated; low confidence in vaccine effectiveness and concern about safety correlate reliably with not getting vaccinated. We were surprised to find that few randomized trials have successfully changed what people think and feel about vaccines, and those few that succeeded were minimally effective in increasing uptake. The second proposition is that social processes can motivate getting vaccinated. Substantial research has shown that social norms are associated with vaccination, but few interventions examined whether normative messages increase vaccination uptake. Many experimental studies have relied on hypothetical scenarios to demonstrate that altruism and free riding (i.e., taking advantage of the protection provided by others) can affect intended behavior, but few randomized trials have tested strategies to change social processes to increase vaccination uptake. The third proposition is that interventions can facilitate vaccination directly by leveraging, but not trying to change, what people think and feel. These interventions are by far the most plentiful and effective in the literature. To increase vaccine uptake, these interventions build on existing favorable intentions by facilitating action (through reminders, prompts, and primes) and reducing barriers (through logistics and healthy defaults); these interventions also shape behavior (through incentives, sanctions, and requirements). Although identification of principles for changing thoughts and feelings to motivate vaccination is a work in progress, psychological principles can now inform the design of systems and policies to directly facilitate action.",,,0,,,
1830,"Pharmacist authority to provide HPV vaccine: novel partners in cervical cancer prevention OBJECTIVES: While the provision of cervical cancer prevention services in the United States has expanded to new settings beyond clinics that give Pap smears, prevention efforts are being hampered by relatively low human papillomavirus (HPV) vaccine coverage. Pharmacies are an underused setting to deliver HPV vaccine. To better understand this opportunity, we sought to classify pharmacists' authority to administer HPV vaccine in each US state. METHODS: For each US state and the District of Columbia (for simplicity, we refer to these 51 regions as states), we interviewed a member of the state's pharmacy association, member of the state board of pharmacy, or a faculty member at a school or college of pharmacy. RESULTS: Most states (80%) allowed pharmacists to provide HPV vaccine to adult women ages 19 and older, and 61% of states allowed provision to girls age 12. The mechanism for pharmacists to immunize was highly variable across states. For example, a 12 year-old girl seeking HPV vaccine could receive it from a pharmacist in 31% of states under a protocol between a specific physician and pharmacist, in 24% with an HPV vaccine prescription, and in 6% without prior physician approval. Pharmacists' authority was broadest on the west coast and limited on the east coast. Pharmacist authority to provide HPV, Tdap, and meningitis vaccines was very similar, but it was highly dependent on patient age. CONCLUSIONS: US states' laws governing pharmacists' ability to offer HPV vaccine varied widely. One consequence is that newly expanded cervical prevention efforts underuse pharmacists. Copyright _ 2013 Elsevier Inc. All rights reserved.",,,0,,,
1831,"Patients' understanding of how genotype variation affects benefits of tamoxifen therapy for breast cancer BACKGROUND: CYP2D6 is a critical enzyme in the metabolism of tamoxifen and potentially a key determinant in breast cancer outcomes. Our study examined patients' beliefs about how the CYP2D6 genotype would affect their prognoses. METHODS: Women enrolled in a pharmacogenomic clinical trial and on tamoxifen for prevention or treatment of breast cancer underwent CYP2D6 genotyping (EM = extensive, IM = intermediate, PM = poor metabolizing alleles). The informed consent said that the purpose of the trial was to examine effects of dose adjustment based on genotype, but that clinical benefits were uncertain. Our embedded sub-study surveyed 320 patients prior to receiving their genotypes. We experimentally manipulated 6 vignettes to describe hypothetical tamoxifen treatment (no or yes) and hypothetical genotype (EM, IM or PM). For each vignette, women gave their perceived recurrence risk (RR; 0-100%). RESULTS: Women believed that genotype would not affect their RR if they did not take tamoxifen (p = 0.06). However, women believed that if prescribed tamoxifen, genotype would affect their RR (22% if EM, 30% if IM and 40% if PM, p < 0.001). CONCLUSION: Women believed that extensive tamoxifen metabolizers had better prognoses, despite study materials stating uncertainty about any benefit. The rapidly changing nature of genomic science calls for caution when communicating clinical utility.",,,3,,,
